timestamp, cpu_temp, cpu_util, cpu_freq, amb_temp, amb_humid, heatsink, cover, starttime
2018-03-29T01:22:54,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:22:56,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:22:59,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:23:01,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:23:04,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:23:06,47.2,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:23:09,46.7,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:23:11,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:23:13,46.7,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:23:16,47.2,0.5,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:23:18,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:23:21,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:23:23,47.2,0,600000000,22,51,False,False,2018-03-29T00:37:42
2018-03-29T01:23:26,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:23:28,47.2,0,600000000,11,153,False,False,2018-03-29T00:37:42
2018-03-29T01:23:31,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:23:33,47.2,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:23:36,47.2,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:23:38,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:23:40,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:23:43,47.2,0,600000000,22,51,False,False,2018-03-29T00:37:42
2018-03-29T01:23:45,47.2,0.75,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:23:48,46.7,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:23:50,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:23:53,46.7,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:23:55,46.7,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:23:58,46.2,0.5,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:24:00,47.2,0.5,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:24:02,47.2,0.5,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:24:05,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:24:07,47.2,0.25,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:24:10,47.2,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:24:12,46.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:24:15,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:24:17,47.2,0.5,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:24:20,47.2,0.5,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:24:22,47.2,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:24:24,46.2,0.5,600000000,22,51,False,False,2018-03-29T00:37:42
2018-03-29T01:24:27,46.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:24:29,46.7,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:24:32,47.2,0,600000000,11,153,False,False,2018-03-29T00:37:42
2018-03-29T01:24:34,46.7,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:24:37,46.7,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:24:39,46.7,0.25,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:24:42,47.2,0.5,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:24:44,47.2,0,600000000,null,null,False,False,2018-03-29T00:37:42
2018-03-29T01:24:46,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:24:49,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:24:51,47.2,0.5,600000000,22,50,False,False,2018-03-29T00:37:42
2018-03-29T01:24:54,47.2,0,600000000,11,153,False,False,2018-03-29T00:37:42
2018-03-29T01:24:56,47.2,0,600000000,22,50,False,False,2018-03-29T00:37:42
